Year,C-Band Spending,Ka-Band Spending,Ku-Band Spending,L-Band Spending,X-Band Spending,Purchased Bandwidth,Total Bandwidth Needed
2010,67922057.7,1619166.35,376480772.6,5767562,229191505.9,4638,11595
2011,69165001.99,36634572.69,267669407.2,2694328,117977189.5,4926,12315
2012,34860527.18,4488435.27,311929051.5,59712.48,131462519.4,6740,16850
2013,53815490.71,1762029.24,551525691.5,2546885.615,118644407.7,7246,18115
2014,75604277.79,5921696.832,342429417,7675209.277,112759278.3,9646,24115
2015,48085290.95,1883202.89,226375903.7,22552587.12,269289493.6,11358,28395
2016,26087152.82,3232250.69,834593923.3,13048217,100343152,10634,26585
2017,18436756.89,2338630.52,101605021.3,7684993.376,183746952.5,12534,31335
2018,20950167.47,14669340,572466754.8,234815356.1,516257492.5,13398,33495
2019,84354583.43,5497040.68,430087472,22248365,641716945.7,14352,35880
2020,177031843,16869905.27,293666552.5,1550941.56,65170301.82,14994,37485
2021,133312854.2,30067981.22,332906791.3,67452,67097338.91,14124,35310
2022,102909412.2,31635191.06,217802701.7,18922596.9,155080977.7,0,0
2023,26270998.42,6147326.25,296643778.4,11489768.37,118368802.3,0,0
2024,39317462.43,342238.2,120420545.4,10902740.53,202925341.8,0,0
2025,90807422.82,17220392.13,343637287,41096304.51,231686588.9,0,0
2026,94387556.05,18135661.34,339405413.9,43592404.5,235775348.9,0,0
2027,97967689.28,19050930.55,335173540.8,46088504.49,239864109,0,0
2028,101547822.5,19966199.76,330941667.6,48584604.48,243952869,0,0
2029,105127955.7,20881468.97,326709794.5,51080704.47,248041629.1,0,0
2030,108708089,21796738.18,322477921.4,53576804.46,252130389.1,0,0
2031,112288222.2,22712007.39,318246048.3,56072904.45,256219149.2,0,0
2032,115868355.4,23627276.6,314014175.1,58569004.44,260307909.2,0,0
2033,119448488.7,24542545.81,309782302,61065104.43,264396669.3,0,0
2034,123028621.9,25457815.02,305550428.9,63561204.42,268485429.3,0,0
2035,126608755.1,26373084.23,301318555.7,66057304.41,272574189.4,0,0